OWNER,TABLE_NAME,TABLESPACE_NAME,NUM_ROWS,LAST_ANALYZED
SYSTEM,CST_SIMUDETA,SYSTEM,0,2026-03-31 19:15:05
SYSTEM,CST_VARIPROD,SYSTEM,0,2026-03-31 19:15:06
SYSTEM,DWH_VENTAS,SYSTEM,27115,2026-03-31 19:15:09
SYSTEM,DWH_VENTAS_081124,SYSTEM,15109,2026-03-31 19:15:10
SYSTEM,ECL_DETAFORMU,SYSTEM,789,2026-03-31 19:15:12
SYSTEM,ECT_DETADECLA,SYSTEM,0,2026-03-31 19:15:13
SYSTEM,GEN_FORMPAGO,SYSTEM,36,2026-03-31 19:15:18
SYSTEM,GEN_PERIPAGO,SYSTEM,14,2026-03-31 19:15:21
SYSTEM,GEN_PRODUCTOS,SYSTEM,24,2026-03-31 19:17:28
SYSTEM,GEN_TIPOPAGO,SYSTEM,2,2026-03-31 19:17:34
SYSTEM,IMP_DENOTAPEDI,SYSTEM,0,2026-03-31 19:17:37
SYSTEM,IMP_NOTAPEDI,SYSTEM,0,2026-03-31 19:17:40
SYSTEM,INF_DETAEQUI,SYSTEM,0,2026-03-31 19:17:43
SYSTEM,PAG_DETAPAGO,SYSTEM,9994,2026-03-31 19:17:48
SYSTEM,PRT_DETASIENTO,SYSTEM,0,2026-03-31 19:17:54
SYSTEM,PRT_DETASOLI,SYSTEM,0,2026-03-31 19:17:54
SYSTEM,PRT_DETIPCAU,SYSTEM,0,2026-03-31 19:17:55
SYSTEM,PRT_SIMUDETA,SYSTEM,0,2026-03-31 19:18:00
SYSTEM,RHH_DETAPRES,SYSTEM,0,2026-03-31 19:18:10
SYSTEM,RHH_DETAVENC,SYSTEM,0,2026-03-31 19:18:10
SYSTEM,RHH_PAGOVACA,SYSTEM,0,2026-03-31 19:18:16
SYSTEM,RHH_PRODUCTOS,SYSTEM,0,2026-03-31 19:18:18
SYSTEM,SEG_PRODUCTO,SYSTEM,0,2026-03-31 19:18:31
SYSTEM,SEG_PRODUSUA,SYSTEM,0,2026-03-31 19:18:31
SYSTEM,SRI_DETALOGF,SYSTEM,231700,2026-03-31 19:18:50
SYSTEM,SRI_LOGFACTU,SYSTEM,47408,2026-03-31 19:18:51
SYSTEM,SRV_INDETEOB,SYSTEM,0,2026-03-31 19:18:53
SYSTEM,SRV_SEPRVDET,SYSTEM,0,2026-03-31 19:18:55
SYSTEM,TLL_DETAORDEN,SYSTEM,0,2026-03-31 19:18:57
SYSTEM,TLL_DETAREQUI,SYSTEM,0,2026-03-31 19:18:57
SYSTEM,TLL_ORDENTRC,SYSTEM,0,2026-03-31 19:18:58
SYSTEM,TLL_ORDETRAB,SYSTEM,0,2026-03-31 19:18:58
SYSTEM,TMP_DETAREQU,SYSTEM,0,2026-03-31 19:19:00
SYSTEM,VEN_DETAFACT,SYSTEM,0,2026-03-31 19:19:08
SYSTEM,VEN_DETAFLET,SYSTEM,148,2026-03-31 19:19:08
SYSTEM,VEN_DETAPROD,SYSTEM,2502,2026-03-31 19:19:09
SYSTEM,VEN_DETAPROF,SYSTEM,36051,2026-03-31 19:19:11
SYSTEM,VEN_DETARTPR,SYSTEM,0,2026-03-31 19:19:11
SYSTEM,VEN_GRPOVENT,SYSTEM,0,2026-03-31 19:19:13
SYSTEM,VEN_PLANPAGO,SYSTEM,0,2026-03-31 19:19:19
SYSTEM,VEN_TMPRETDETA,SYSTEM,0,2026-03-31 19:19:28
SYSTEM,VEN_VENTAS,SYSTEM,7851,2026-03-31 19:28:02
SYSTEM,VEN_VENTPERD,SYSTEM,0,2026-03-31 19:19:30
