CHILD_OWNER,CHILD_TABLE,FK_NAME,CHILD_ROWID,KEY_VALUES
SYSTEM,SRI_DETALOGF,ERDO_LGFA_FK,AAATTwAABAAB9K6AAR,18977
SYSTEM,SRI_DETALOGF,ERDO_LGFA_FK,AAATTwAABAAB9K6AAW,18993
SYSTEM,SRI_DETALOGF,ERDO_LGFA_FK,AAATTwAABAAB9K6AAX,18993
SYSTEM,SRI_DETALOGF,ERDO_LGFA_FK,AAATTwAABAAB9K6AAa,18999
