OWNER,TRIGGER_NAME,TABLE_OWNER,TABLE_NAME,BASE_OBJECT_TYPE,TRIGGER_TYPE,TRIGGERING_EVENT,STATUS
MDSYS,SDO_NETWORK_TRIG_INS,MDSYS,USER_SDO_NETWORK_METADATA,VIEW,INSTEAD OF,INSERT,ENABLED
MDSYS,SDO_NETWORK_TRIG_UPD,MDSYS,USER_SDO_NETWORK_METADATA,VIEW,INSTEAD OF,UPDATE,ENABLED
MDSYS,SDO_NETWORK_TIME_DEL_TRIG,MDSYS,USER_SDO_NETWORK_TIMESTAMPS,VIEW,INSTEAD OF,DELETE,ENABLED
MDSYS,SDO_NETWORK_TIME_INS_TRIG,MDSYS,USER_SDO_NETWORK_TIMESTAMPS,VIEW,INSTEAD OF,INSERT,ENABLED
MDSYS,SDO_NETWORK_TIME_UPD_TRIG,MDSYS,USER_SDO_NETWORK_TIMESTAMPS,VIEW,INSTEAD OF,UPDATE,ENABLED
MDSYS,SDO_NETWORK_UD_DEL_TRIG,MDSYS,USER_SDO_NETWORK_USER_DATA,VIEW,INSTEAD OF,DELETE,ENABLED
MDSYS,SDO_NETWORK_UD_INS_TRIG,MDSYS,USER_SDO_NETWORK_USER_DATA,VIEW,INSTEAD OF,INSERT,ENABLED
MDSYS,SDO_NETWORK_UD_UPD_TRIG,MDSYS,USER_SDO_NETWORK_USER_DATA,VIEW,INSTEAD OF,UPDATE,ENABLED
MDSYS,SDO_MODEL_FTLAYER_TRIG_DEL,MDSYS,USER_SDO_NFE_MODEL_FTLAYER_REL,VIEW,INSTEAD OF,DELETE,ENABLED
MDSYS,SDO_MODEL_FTLAYER_TRIG_INS,MDSYS,USER_SDO_NFE_MODEL_FTLAYER_REL,VIEW,INSTEAD OF,INSERT,ENABLED
MDSYS,SDO_MODEL_FTLAYER_TRIG_UPD,MDSYS,USER_SDO_NFE_MODEL_FTLAYER_REL,VIEW,INSTEAD OF,UPDATE,ENABLED
MDSYS,SDO_NFE_MODEL_TRIG_DEL,MDSYS,USER_SDO_NFE_MODEL_METADATA,VIEW,INSTEAD OF,DELETE,ENABLED
MDSYS,SDO_NFE_MODEL_TRIG_INS,MDSYS,USER_SDO_NFE_MODEL_METADATA,VIEW,INSTEAD OF,INSERT,ENABLED
MDSYS,SDO_NFE_MODEL_TRIG_UPD,MDSYS,USER_SDO_NFE_MODEL_METADATA,VIEW,INSTEAD OF,UPDATE,ENABLED
MDSYS,SDO_NFE_WORKSPACE_TRIG_DEL,MDSYS,USER_SDO_NFE_MODEL_WORKSPACE,VIEW,INSTEAD OF,DELETE,ENABLED
MDSYS,SDO_NFE_WORKSPACE_TRIG_INS,MDSYS,USER_SDO_NFE_MODEL_WORKSPACE,VIEW,INSTEAD OF,INSERT,ENABLED
MDSYS,SDO_NFE_WORKSPACE_TRIG_UPD,MDSYS,USER_SDO_NFE_MODEL_WORKSPACE,VIEW,INSTEAD OF,UPDATE,ENABLED
MDSYS,SDO_DROP_USER,SYS,,DATABASE,AFTER EVENT,DROP,ENABLED
MDSYS,SDO_NETWORK_DROP_USER,SYS,,DATABASE,AFTER EVENT,DROP,ENABLED
MDSYS,SDO_TOPO_DROP_FTBL,SYS,,DATABASE,BEFORE EVENT,DROP,DISABLED
SYS,DELETE_ENTRIES,SYS,,DATABASE,AFTER EVENT,DROP,ENABLED
SYS,LOGMNRGGC_TRIGGER,SYS,,DATABASE,BEFORE EVENT,DDL,DISABLED
SYS,OJDS$ROLE_TRIGGER$,SYS,,DATABASE,AFTER EVENT,DROP,ENABLED
SYS,SYSLSBY_EDS_DDL_TRIG,SYS,,DATABASE,AFTER EVENT,CREATE OR ALTER,DISABLED
SYS,XDB_PI_TRIG,SYS,,DATABASE,BEFORE EVENT,DROP OR TRUNCATE,ENABLED
WMSYS,NO_VM_DDL,SYS,,DATABASE,BEFORE EVENT,CREATE OR ALTER OR DROP OR TRUNCATE OR RENAME,DISABLED
WMSYS,NO_VM_DROP_A,SYS,,DATABASE,AFTER EVENT,DROP,DISABLED
WMSYS,WM$BCT_I_TRIG,WMSYS,WM$BATCH_COMPRESSIBLE_TABLES,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$CP_D_TRIG,WMSYS,WM$COLUMN_PROPS,VIEW,INSTEAD OF,DELETE,ENABLED
WMSYS,WM$CP_I_TRIG,WMSYS,WM$COLUMN_PROPS,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$CP_U_TRIG,WMSYS,WM$COLUMN_PROPS,VIEW,INSTEAD OF,UPDATE,ENABLED
WMSYS,WM$CC_I_TRIG,WMSYS,WM$CONS_COLUMNS,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$CT_I_TRIG,WMSYS,WM$CONSTRAINTS_TABLE,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$CT_U_TRIG,WMSYS,WM$CONSTRAINTS_TABLE,VIEW,INSTEAD OF,UPDATE,ENABLED
WMSYS,WM$EV_I_TRIG,WMSYS,WM$ENV_VARS,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$EI_I_TRIG,WMSYS,WM$EVENTS_INFO,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$EI_U_TRIG,WMSYS,WM$EVENTS_INFO,VIEW,INSTEAD OF,UPDATE,ENABLED
WMSYS,WM$HT_I_TRIG,WMSYS,WM$HINT_TABLE,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$LI_I_TRIG,WMSYS,WM$LOCKROWS_INFO,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$MT_I_TRIG,WMSYS,WM$MODIFIED_TABLES,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$MGWT_I_TRIG,WMSYS,WM$MP_GRAPH_WORKSPACES_TABLE,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$MPWT_I_TRIG,WMSYS,WM$MP_PARENT_WORKSPACES_TABLE,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$MW_I_TRIG,WMSYS,WM$MW_TABLE,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$NCT_I_TRIG,WMSYS,WM$NESTED_COLUMNS_TABLE,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$NT_I_TRIG,WMSYS,WM$NEXTVER_TABLE,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$RWT_I_TRIG,WMSYS,WM$RESOLVE_WORKSPACES_TABLE,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$RLT_I_TRIG,WMSYS,WM$RIC_LOCKING_TABLE,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$RT_D_TRIG,WMSYS,WM$RIC_TABLE,VIEW,INSTEAD OF,DELETE,ENABLED
WMSYS,WM$RT_I_TRIG,WMSYS,WM$RIC_TABLE,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$RTT_I_TRIG,WMSYS,WM$RIC_TRIGGERS_TABLE,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$SAV_I_TRIG,WMSYS,WM$SYSPARAM_ALL_VALUES,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$UDP_I_TRIG,WMSYS,WM$UDTRIG_DISPATCH_PROCS,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$UD_U_TRIG,WMSYS,WM$UDTRIG_INFO,VIEW,INSTEAD OF,UPDATE,ENABLED
WMSYS,WM$UI_I_TRIG,WMSYS,WM$UDTRIG_INFO,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$VTH_D_TRIG,WMSYS,WM$VERSIONED_TABLES$H,VIEW,INSTEAD OF,DELETE,ENABLED
WMSYS,WM$VTH_I_TRIG,WMSYS,WM$VERSIONED_TABLES$H,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$VTH_NT_D_TRIG,WMSYS,WM$VERSIONED_TABLES$H,VIEW,INSTEAD OF,DELETE,ENABLED
WMSYS,WM$VTH_NT_I_TRIG,WMSYS,WM$VERSIONED_TABLES$H,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$VTH_U_TRIG,WMSYS,WM$VERSIONED_TABLES$H,VIEW,INSTEAD OF,UPDATE,ENABLED
WMSYS,WM$VHT_I_TRIG,WMSYS,WM$VERSION_HIERARCHY_TABLE,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$VT_I_TRIG,WMSYS,WM$VERSION_TABLE,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$VET_I_TRIG,WMSYS,WM$VT_ERRORS_TABLE,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$VET_U_TRIG,WMSYS,WM$VT_ERRORS_TABLE,VIEW,INSTEAD OF,UPDATE,ENABLED
WMSYS,WM$WPT_D_TRIG,WMSYS,WM$WORKSPACE_PRIV_TABLE,VIEW,INSTEAD OF,DELETE,ENABLED
WMSYS,WM$WPT_I_TRIG,WMSYS,WM$WORKSPACE_PRIV_TABLE,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$WPT_U_TRIG,WMSYS,WM$WORKSPACE_PRIV_TABLE,VIEW,INSTEAD OF,UPDATE,ENABLED
WMSYS,WM$WST_I_TRIG,WMSYS,WM$WORKSPACE_SAVEPOINTS_TABLE,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$WT_D_TRIG,WMSYS,WM$WORKSPACES_TABLE$D,VIEW,INSTEAD OF,DELETE,ENABLED
WMSYS,WM$WT_I_TRIG,WMSYS,WM$WORKSPACES_TABLE$D,VIEW,INSTEAD OF,INSERT,ENABLED
WMSYS,WM$WT_U_TRIG,WMSYS,WM$WORKSPACES_TABLE$D,VIEW,INSTEAD OF,UPDATE,ENABLED
XDB,XDB_PV_TRIG,XDB,PATH_VIEW,VIEW,INSTEAD OF,INSERT OR UPDATE OR DELETE,ENABLED
XDB,XDB_RV_TRIG,XDB,RESOURCE_VIEW,VIEW,INSTEAD OF,INSERT OR UPDATE OR DELETE,ENABLED
XDB,XDB$ACL$xd,XDB,XDB$ACL,TABLE,AFTER EACH ROW,UPDATE OR DELETE,ENABLED
XDB,XDBCONFIG_VALIDATE,XDB,XDB$CONFIG,TABLE,BEFORE EACH ROW,INSERT OR UPDATE,ENABLED
XDB,XDB$CONFIG$xd,XDB,XDB$CONFIG,TABLE,AFTER EACH ROW,UPDATE OR DELETE,ENABLED
XDB,XDB$RESCONFIG$xd,XDB,XDB$RESCONFIG,TABLE,AFTER EACH ROW,UPDATE OR DELETE,ENABLED
XDB,XDB$STATS$xd,XDB,XDB$STATS,TABLE,AFTER EACH ROW,UPDATE OR DELETE,ENABLED
