OWNER,VIEW_NAME,READ_ONLY,TEXT_LENGTH
DVSYS,DBA_DV_FACTOR,N,1092
DVSYS,DBA_DV_FACTOR_LINK,N,204
DVSYS,DBA_DV_FACTOR_TYPE,N,157
DVSYS,DBA_DV_IDENTITY,N,129
DVSYS,DBA_DV_IDENTITY_MAP,N,545
DVSYS,DBA_DV_INDEX_FUNCTION,N,84
DVSYS,DBA_DV_JOB_AUTH,N,577
DVSYS,DBA_DV_MAC_POLICY,N,221
DVSYS,DBA_DV_MAC_POLICY_FACTOR,N,242
DVSYS,DBA_DV_MAINTENANCE_AUTH,N,1173
DVSYS,DBA_DV_ORADEBUG,N,121
DVSYS,DBA_DV_PATCH_ADMIN_AUDIT,N,125
DVSYS,DBA_DV_POLICY,N,422
DVSYS,DBA_DV_POLICY_LABEL,N,333
DVSYS,DBA_DV_POLICY_OBJECT,N,2343
DVSYS,DBA_DV_POLICY_OWNER,N,197
DVSYS,DBA_DV_PREPROCESSOR_AUTH,N,233
DVSYS,DBA_DV_PROXY_AUTH,N,1053
DVSYS,DBA_DV_PUB_PRIVS,N,659
DVSYS,DBA_DV_RAS_ATTACH_SESSION_AUTH,N,648
DVSYS,DBA_DV_REALM,N,829
DVSYS,DBA_DV_REALM_AUTH,N,850
DVSYS,DBA_DV_REALM_OBJECT,N,439
DVSYS,DBA_DV_ROLE,N,183
DVSYS,DBA_DV_RULE,N,562
DVSYS,DBA_DV_RULE_SET,N,1107
DVSYS,DBA_DV_RULE_SET_RULE,N,263
DVSYS,DBA_DV_SIMULATION_LOG,N,1004
DVSYS,DBA_DV_STATUS,N,593
DVSYS,DBA_DV_TTS_AUTH,N,243
DVSYS,DBA_DV_USER_PRIVS,N,724
DVSYS,DBA_DV_USER_PRIVS_ALL,N,1465
DVSYS,DV_ADMIN_GRANTEES,N,453
DVSYS,DV_AUDIT_CLEANUP_GRANTEES,N,469
DVSYS,DV$CODE,N,297
DVSYS,DV$COMMAND_RULE,N,2736
DVSYS,DV$CONFIGURATION_AUDIT,N,632
DVSYS,DV$ENFORCEMENT_AUDIT,N,599
DVSYS,DV$FACTOR,N,1184
DVSYS,DV$FACTOR_LINK,N,361
DVSYS,DV$FACTOR_TYPE,N,263
DVSYS,DV$IDENTITY,N,257
DVSYS,DV$IDENTITY_MAP,N,736
DVSYS,DV$MAC_POLICY,N,373
DVSYS,DV$MAC_POLICY_FACTOR,N,400
DVSYS,DV_MONITOR_GRANTEES,N,457
DVSYS,DV$OLS_POLICY,N,65
DVSYS,DV$OLS_POLICY_LABEL,N,177
DVSYS,DV$OUT,N,162
DVSYS,DV_OWNER_GRANTEES,N,453
DVSYS,DV$POLICY,N,242
DVSYS,DV$POLICY_LABEL,N,510
DVSYS,DV$REALM,N,633
DVSYS,DV$REALM_AUTH,N,1021
DVSYS,DV$REALM_OBJECT,N,689
DVSYS,DV$ROLE,N,244
DVSYS,DV$RULE,N,572
DVSYS,DV$RULE_SET,N,1210
DVSYS,DV$RULE_SET_RULE,N,407
DVSYS,DV_SECANALYST_GRANTEES,N,463
DVSYS,DV$SYS_GRANTEE,N,121
DVSYS,DV$SYS_OBJECT,N,178
DVSYS,DV$SYS_OBJECT_OWNER,N,44
DVSYS,EVENT_STATUS,N,73
DVSYS,KU$_DV_ACCTS_V,N,265
DVSYS,KU$_DV_AUTH_AP_V,N,295
DVSYS,KU$_DV_AUTH_DBCAPTURE_V,N,265
DVSYS,KU$_DV_AUTH_DBREPLAY_V,N,264
DVSYS,KU$_DV_AUTH_DDL_V,N,290
DVSYS,KU$_DV_AUTH_DIAG_V,N,266
DVSYS,KU$_DV_AUTH_DP_V,N,336
DVSYS,KU$_DV_AUTH_JOB_V,N,290
DVSYS,KU$_DV_AUTH_MAINT_V,N,363
DVSYS,KU$_DV_AUTH_PREP_V,N,268
DVSYS,KU$_DV_AUTH_PROXY_V,N,292
DVSYS,KU$_DV_AUTH_RAS_AS_V,N,307
DVSYS,KU$_DV_AUTH_TTS_V,N,279
DVSYS,KU$_DV_COMMAND_RULE_VIEW,N,644
DVSYS,KU$_DV_COMM_RULE_ALTS_V,N,754
DVSYS,KU$_DV_FACTOR_LINK_VIEW,N,440
DVSYS,KU$_DV_FACTOR_TYPE_VIEW,N,402
DVSYS,KU$_DV_FACTOR_VIEW,N,3131
DVSYS,KU$_DV_IDENTITY_MAP_VIEW,N,915
DVSYS,KU$_DV_IDENTITY_VIEW,N,397
DVSYS,KU$_DV_INDEX_FUNC_V,N,269
DVSYS,KU$_DV_ISRM_VIEW,N,418
DVSYS,KU$_DV_ISR_VIEW,N,360
DVSYS,KU$_DV_ORADEBUG_V,N,257
DVSYS,KU$_DV_POLICY_OBJ_C_ALTS_V,N,983
DVSYS,KU$_DV_POLICY_OBJ_C_V,N,878
DVSYS,KU$_DV_POLICY_OBJ_R_V,N,519
DVSYS,KU$_DV_POLICY_OWNER_V,N,299
DVSYS,KU$_DV_POLICY_V,N,657
DVSYS,KU$_DV_REALM_AUTH_VIEW,N,901
DVSYS,KU$_DV_REALM_MEMBER_VIEW,N,451
DVSYS,KU$_DV_REALM_VIEW,N,885
DVSYS,KU$_DV_ROLE_VIEW,N,440
DVSYS,KU$_DV_RULE_SET_MEMBER_VIEW,N,696
DVSYS,KU$_DV_RULE_SET_VIEW,N,1847
DVSYS,KU$_DV_RULE_VIEW,N,670
DVSYS,POLICY_OWNER_COMMAND_RULE,N,2276
DVSYS,POLICY_OWNER_POLICY,N,538
DVSYS,POLICY_OWNER_POLICY_OBJECT,N,2460
DVSYS,POLICY_OWNER_REALM,N,1031
DVSYS,POLICY_OWNER_REALM_AUTH,N,1150
DVSYS,POLICY_OWNER_REALM_OBJECT,N,1091
DVSYS,POLICY_OWNER_RULE,N,339
DVSYS,POLICY_OWNER_RULE_SET,N,1007
DVSYS,POLICY_OWNER_RULE_SET_RULE,N,339
GSMADMIN_INTERNAL,AQ$CHANGE_LOG_QUEUE_TABLE,Y,5652
GSMADMIN_INTERNAL,AQ$_CHANGE_LOG_QUEUE_TABLE_F,Y,1512
GSMADMIN_INTERNAL,AQ$CHANGE_LOG_QUEUE_TABLE_R,Y,328
GSMADMIN_INTERNAL,AQ$CHANGE_LOG_QUEUE_TABLE_S,Y,271
GSMADMIN_INTERNAL,DUPLICATED_TABLE,Y,667
GSMADMIN_INTERNAL,DUPLICATED_TABLE_DETAILS,Y,222
GSMADMIN_INTERNAL,DUPLICATED_TABLE_DETAILS$,Y,1405
GSMADMIN_INTERNAL,LOCAL_CHUNK_COLUMNS,Y,289
GSMADMIN_INTERNAL,LOCAL_CHUNKS,Y,2090
GSMADMIN_INTERNAL,LOCAL_CHUNK_TYPES,Y,578
GSMADMIN_INTERNAL,LOCAL_TABLE_FAMILY_SERVICES,Y,420
GSMADMIN_INTERNAL,SHA_DATABASES,N,1350
GSMADMIN_INTERNAL,SHARDED_TABLE_FAMILIES,Y,254
LBACSYS,ALL_SA_AUDIT_OPTIONS,N,280
LBACSYS,ALL_SA_COMPARTMENTS,N,605
LBACSYS,ALL_SA_DATA_LABELS,N,401
LBACSYS,ALL_SA_GROUP_HIERARCHY,N,865
LBACSYS,ALL_SA_GROUPS,N,749
LBACSYS,ALL_SA_LABELS,N,478
LBACSYS,ALL_SA_LEVELS,N,727
LBACSYS,ALL_SA_POLICIES,N,231
LBACSYS,ALL_SA_PROG_PRIVS,N,163
LBACSYS,ALL_SA_PROGRAMS,N,333
LBACSYS,ALL_SA_SCHEMA_POLICIES,N,284
LBACSYS,ALL_SA_TABLE_POLICIES,N,322
LBACSYS,ALL_SA_USER_COMPARTMENTS,N,625
LBACSYS,ALL_SA_USER_GROUPS,N,606
LBACSYS,ALL_SA_USER_LABELS,N,282
LBACSYS,ALL_SA_USER_LEVELS,N,946
LBACSYS,ALL_SA_USER_PRIVS,N,131
LBACSYS,ALL_SA_USERS,N,641
LBACSYS,CDB_LBAC_DATA_LABELS,N,161
LBACSYS,CDB_LBAC_LABELS,N,171
LBACSYS,CDB_LBAC_LABEL_TAGS,N,178
LBACSYS,CDB_LBAC_POLICIES,N,214
LBACSYS,CDB_LBAC_SCHEMA_POLICIES,N,187
LBACSYS,CDB_LBAC_TABLE_POLICIES,N,227
LBACSYS,CDB_OLS_AUDIT_OPTIONS,N,185
LBACSYS,CDB_OLS_STATUS,N,151
LBACSYS,CDB_OLS_USERS,N,230
LBACSYS,CDB_SA_AUDIT_OPTIONS,N,184
LBACSYS,CDB_SA_COMPARTMENTS,N,178
LBACSYS,CDB_SA_DATA_LABELS,N,159
LBACSYS,CDB_SA_GROUP_HIERARCHY,N,174
LBACSYS,CDB_SA_GROUPS,N,204
LBACSYS,CDB_SA_LABELS,N,169
LBACSYS,CDB_SA_LEVELS,N,173
LBACSYS,CDB_SA_POLICIES,N,200
LBACSYS,CDB_SA_PROG_PRIVS,N,190
LBACSYS,CDB_SA_PROGRAMS,N,201
LBACSYS,CDB_SA_SCHEMA_POLICIES,N,185
LBACSYS,CDB_SA_TABLE_POLICIES,N,225
LBACSYS,CDB_SA_USER_COMPARTMENTS,N,204
LBACSYS,CDB_SA_USER_GROUPS,N,199
LBACSYS,CDB_SA_USER_LABELS,N,277
LBACSYS,CDB_SA_USER_LEVELS,N,205
LBACSYS,CDB_SA_USER_PRIVS,N,168
LBACSYS,CDB_SA_USERS,N,291
LBACSYS,DBA_LBAC_DATA_LABELS,N,178
LBACSYS,DBA_LBAC_LABELS,N,262
LBACSYS,DBA_LBAC_LABEL_TAGS,N,273
LBACSYS,DBA_LBAC_POLICIES,N,251
LBACSYS,DBA_LBAC_SCHEMA_POLICIES,N,258
LBACSYS,DBA_LBAC_TABLE_POLICIES,N,352
LBACSYS,DBA_OLS_AUDIT_OPTIONS,N,923
LBACSYS,DBA_OLS_STATUS,N,408
LBACSYS,DBA_OLS_USERS,N,693
LBACSYS,DBA_SA_AUDIT_OPTIONS,N,194
LBACSYS,DBA_SA_COMPARTMENTS,N,185
LBACSYS,DBA_SA_DATA_LABELS,N,180
LBACSYS,DBA_SA_GROUP_HIERARCHY,N,372
LBACSYS,DBA_SA_GROUPS,N,335
LBACSYS,DBA_SA_LABELS,N,268
LBACSYS,DBA_SA_LEVELS,N,181
LBACSYS,DBA_SA_POLICIES,N,137
LBACSYS,DBA_SA_PROG_PRIVS,N,219
LBACSYS,DBA_SA_PROGRAMS,N,257
LBACSYS,DBA_SA_SCHEMA_POLICIES,N,194
LBACSYS,DBA_SA_TABLE_POLICIES,N,234
LBACSYS,DBA_SA_USER_COMPARTMENTS,N,332
LBACSYS,DBA_SA_USER_GROUPS,N,315
LBACSYS,DBA_SA_USER_LABELS,N,220
LBACSYS,DBA_SA_USER_LEVELS,N,691
LBACSYS,DBA_SA_USER_PRIVS,N,128
LBACSYS,DBA_SA_USERS,N,343
LBACSYS,OLS$POLICY_COLUMNS,N,492
LBACSYS,OLS$TRUSTED_PROGS,N,146
LBACSYS,SA$ADMIN,N,184
LBACSYS,SA$POL,N,272
LBACSYS,USER_SA_SESSION,N,724
MDSYS,ALL_ANNOTATION_TEXT_METADATA,N,424
MDSYS,ALL_GEOMETRY_COLUMNS,N,893
MDSYS,ALL_SDO_ANIMATIONS,N,84
MDSYS,ALL_SDO_CACHED_MAPS,N,147
MDSYS,ALL_SDO_CSW_SERVICE_INFO,N,324
MDSYS,ALL_SDO_DIAG_MESSAGES,N,265
MDSYS,ALL_SDO_GEOM_METADATA,N,354
MDSYS,ALL_SDO_GEOR_SYSDATA,N,846
MDSYS,ALL_SDO_INDEX_HISTOGRAM,N,325
MDSYS,ALL_SDO_INDEX_INFO,N,317
MDSYS,ALL_SDO_INDEX_METADATA,N,1239
MDSYS,ALL_SDO_LIGHTSOURCES,N,93
MDSYS,ALL_SDO_LRS_METADATA,N,203
MDSYS,ALL_SDO_MAPS,N,78
MDSYS,ALL_SDO_NETWORK_CONSTRAINTS,N,102
MDSYS,ALL_SDO_NETWORK_FEATURE,N,199
MDSYS,ALL_SDO_NETWORK_HISTORIES,N,129
MDSYS,ALL_SDO_NETWORK_JAVA_OBJECTS,N,122
MDSYS,ALL_SDO_NETWORK_LOCKS_WM,N,218
MDSYS,ALL_SDO_NETWORK_METADATA,N,1008
MDSYS,ALL_SDO_NETWORK_TIMESTAMPS,N,93
MDSYS,ALL_SDO_NETWORK_USER_DATA,N,128
MDSYS,ALL_SDO_NFE_MODEL_FTLAYER_REL,N,127
MDSYS,ALL_SDO_NFE_MODEL_METADATA,N,215
MDSYS,ALL_SDO_NFE_MODEL_WORKSPACE,N,220
MDSYS,ALL_SDO_SCENES,N,80
MDSYS,ALL_SDO_STYLES,N,102
MDSYS,ALL_SDO_THEMES,N,501
MDSYS,ALL_SDO_TIN_PC_SYSDATA,N,558
MDSYS,ALL_SDO_TOPO_INFO,N,688
MDSYS,ALL_SDO_TOPO_METADATA,N,851
MDSYS,ALL_SDO_VIEWFRAMES,N,97
MDSYS,ALL_SDO_3DTHEMES,N,523
MDSYS,ALL_SDO_3DTXFMS,N,154
MDSYS,CS_SRS,N,103
MDSYS,CURRENTSESSIONTOKENMAP$,N,136
MDSYS,DBA_GEOMETRY_COLUMNS,N,183
MDSYS,DBA_SDO_MAPS,N,78
MDSYS,DBA_SDO_STYLES,N,102
MDSYS,DBA_SDO_THEMES,N,413
MDSYS,GEODETIC_SRIDS,N,148
MDSYS,MY_SDO_INDEX_METADATA,N,965
MDSYS,RDF_PARAM$,N,77
MDSYS,ROWTOKENMAP$,N,144
MDSYS,SDO_ANGLE_UNITS,N,199
MDSYS,SDO_AREA_UNITS,N,198
MDSYS,SDO_AVAILABLE_ELEM_OPS,N,825
MDSYS,SDO_AVAILABLE_NON_ELEM_OPS,N,396
MDSYS,SDO_AVAILABLE_OPS,N,226
MDSYS,SDO_COORD_REF_SYSTEM,N,336
MDSYS,SDO_CRS_COMPOUND,N,260
MDSYS,SDO_CRS_ENGINEERING,N,254
MDSYS,SDO_CRS_GEOCENTRIC,N,253
MDSYS,SDO_CRS_GEOGRAPHIC2D,N,255
MDSYS,SDO_CRS_GEOGRAPHIC3D,N,255
MDSYS,SDO_CRS_PROJECTED,N,290
MDSYS,SDO_CRS_VERTICAL,N,251
MDSYS,SDO_DATUM_ENGINEERING,N,385
MDSYS,SDO_DATUM_GEODETIC,N,382
MDSYS,SDO_DATUMS_OLD_FORMAT,N,155
MDSYS,SDO_DATUM_VERTICAL,N,382
MDSYS,SDO_DIST_UNITS,N,200
MDSYS,SDO_ELLIPSOIDS_OLD_FORMAT,N,703
MDSYS,SDO_PROJECTIONS_OLD_FORMAT,N,237
MDSYS,SDO_RELATEMASK_TABLE,N,50
MDSYS,SDO_TOPO_TRANSACT_DATA$,N,98
MDSYS,TOKENSESSIONMAP$,N,251
MDSYS,USER_ANNOTATION_TEXT_METADATA,N,298
MDSYS,USER_GEOMETRY_COLUMNS,N,303
MDSYS,USER_SDO_ANIMATIONS,N,124
MDSYS,USER_SDO_CACHED_MAPS,N,186
MDSYS,USER_SDO_CSW_SERVICE_INFO,N,135
MDSYS,USER_SDO_DIAG_MESSAGES,N,235
MDSYS,USER_SDO_GEOM_METADATA,N,211
MDSYS,USER_SDO_GEOR_SYSDATA,N,194
MDSYS,USER_SDO_INDEX_HISTOGRAM,N,348
MDSYS,USER_SDO_INDEX_INFO,N,260
MDSYS,USER_SDO_INDEX_METADATA,N,1314
MDSYS,USER_SDO_LIGHTSOURCES,N,133
MDSYS,USER_SDO_LRS_METADATA,N,277
MDSYS,USER_SDO_MAPS,N,118
MDSYS,USER_SDO_NETWORK_CONSTRAINTS,N,151
MDSYS,USER_SDO_NETWORK_FEATURE,N,237
MDSYS,USER_SDO_NETWORK_HISTORIES,N,178
