sheet,cell,row,column,source,target_header,value_state,reason,label,description
BC,B45,45,B/2,general,,,label_context,Cobro de arriendo del equipamiento: Si / NO (GERENCIA),"Rellenar 'Cobro de arriendo del equipamiento: Si / NO (GERENCIA)' en BC!B45 (fila 45, columna B/2). Referencia detectada en A45 (left)."
BC,B46,46,B/2,general,,,label_context,Plazo,"Rellenar 'Plazo' en BC!B46 (fila 46, columna B/2). Referencia detectada en A46 (left)."
BC,B47,47,B/2,general,,,label_context,Proyección de plazo,"Rellenar 'Proyección de plazo' en BC!B47 (fila 47, columna B/2). Referencia detectada en A47 (left)."
BC,B49,49,B/2,general,,,label_context,Presupuesto Referencial del proceso,"Rellenar 'Presupuesto Referencial del proceso' en BC!B49 (fila 49, columna B/2). Referencia detectada en A49 (left)."
BC,B50,50,B/2,general,,,label_context,Porcentaje máximo de canje,"Rellenar 'Porcentaje máximo de canje' en BC!B50 (fila 50, columna B/2). Referencia detectada en A50 (left)."
BC,B51,51,B/2,general,,,label_context,Compromiso de compra (GERENCIA),"Rellenar 'Compromiso de compra (GERENCIA)' en BC!B51 (fila 51, columna B/2). Referencia detectada en A51 (left)."
BC,B53,53,B/2,general,,,label_context,Total/Parcial - tiempo/Parcial a necesidad del laboratorio,"Rellenar 'Total/Parcial - tiempo/Parcial a necesidad del laboratorio' en BC!B53 (fila 53, columna B/2). Referencia detectada en A53 (left)."
BC,B54,54,B/2,general,,,label_context,Determinacion Efectiva Si/No,"Rellenar 'Determinacion Efectiva Si/No' en BC!B54 (fila 54, columna B/2). Referencia detectada en A54 (left)."
BC,B55,55,B/2,general,,,label_context,Observaciones,"Rellenar 'Observaciones' en BC!B55 (fila 55, columna B/2). Referencia detectada en A55 (left)."
BC,A56,56,A/1,general,,,label_context,Observaciones,"Rellenar 'Observaciones' en BC!A56 (fila 56, columna A/1). Referencia detectada en A55 (up)."
BC,B58,58,B/2,objective,Características,empty,target_column_empty,Control externo de tercera opinión,"Rellenar columna 'Características' en BC!B58 (fila 58, columna B/2). Contexto de fila: 'Control externo de tercera opinión' en A58."
BC,D58,58,D/4,objective,Cantidad,empty,target_column_empty,Control externo de tercera opinión,"Rellenar columna 'Cantidad' en BC!D58 (fila 58, columna D/4). Contexto de fila: 'Control externo de tercera opinión' en A58."
BC,E58,58,E/5,objective,Precio,empty,target_column_empty,Control externo de tercera opinión,"Rellenar columna 'Precio' en BC!E58 (fila 58, columna E/5). Contexto de fila: 'Control externo de tercera opinión' en A58."
BC,B59,59,B/2,objective,Características,empty,target_column_empty,Control interno interlaboratorial,"Rellenar columna 'Características' en BC!B59 (fila 59, columna B/2). Contexto de fila: 'Control interno interlaboratorial' en A59."
BC,D59,59,D/4,objective,Cantidad,empty,target_column_empty,Control interno interlaboratorial,"Rellenar columna 'Cantidad' en BC!D59 (fila 59, columna D/4). Contexto de fila: 'Control interno interlaboratorial' en A59."
BC,E59,59,E/5,objective,Precio,empty,target_column_empty,Control interno interlaboratorial,"Rellenar columna 'Precio' en BC!E59 (fila 59, columna E/5). Contexto de fila: 'Control interno interlaboratorial' en A59."
BC,B60,60,B/2,objective,Características,empty,target_column_empty,Póliza de Fiel Cumplimiento del Contrato,"Rellenar columna 'Características' en BC!B60 (fila 60, columna B/2). Contexto de fila: 'Póliza de Fiel Cumplimiento del Contrato' en A60."
BC,D60,60,D/4,objective,Cantidad,empty,target_column_empty,Póliza de Fiel Cumplimiento del Contrato,"Rellenar columna 'Cantidad' en BC!D60 (fila 60, columna D/4). Contexto de fila: 'Póliza de Fiel Cumplimiento del Contrato' en A60."
BC,E60,60,E/5,objective,Precio,empty,target_column_empty,Póliza de Fiel Cumplimiento del Contrato,"Rellenar columna 'Precio' en BC!E60 (fila 60, columna E/5). Contexto de fila: 'Póliza de Fiel Cumplimiento del Contrato' en A60."
BC,B61,61,B/2,objective,Características,empty,target_column_empty,Póliza de seguro de equipos,"Rellenar columna 'Características' en BC!B61 (fila 61, columna B/2). Contexto de fila: 'Póliza de seguro de equipos' en A61."
BC,D61,61,D/4,objective,Cantidad,empty,target_column_empty,Póliza de seguro de equipos,"Rellenar columna 'Cantidad' en BC!D61 (fila 61, columna D/4). Contexto de fila: 'Póliza de seguro de equipos' en A61."
BC,E61,61,E/5,objective,Precio,empty,target_column_empty,Póliza de seguro de equipos,"Rellenar columna 'Precio' en BC!E61 (fila 61, columna E/5). Contexto de fila: 'Póliza de seguro de equipos' en A61."
BC,B62,62,B/2,objective,Características,empty,target_column_empty,Ups equipo,"Rellenar columna 'Características' en BC!B62 (fila 62, columna B/2). Contexto de fila: 'Ups equipo' en A62."
BC,D62,62,D/4,objective,Cantidad,empty,target_column_empty,Ups equipo,"Rellenar columna 'Cantidad' en BC!D62 (fila 62, columna D/4). Contexto de fila: 'Ups equipo' en A62."
BC,E62,62,E/5,objective,Precio,empty,target_column_empty,Ups equipo,"Rellenar columna 'Precio' en BC!E62 (fila 62, columna E/5). Contexto de fila: 'Ups equipo' en A62."
BC,B63,63,B/2,objective,Características,empty,target_column_empty,Ups servidor,"Rellenar columna 'Características' en BC!B63 (fila 63, columna B/2). Contexto de fila: 'Ups servidor' en A63."
BC,D63,63,D/4,objective,Cantidad,empty,target_column_empty,Ups servidor,"Rellenar columna 'Cantidad' en BC!D63 (fila 63, columna D/4). Contexto de fila: 'Ups servidor' en A63."
BC,E63,63,E/5,objective,Precio,empty,target_column_empty,Ups servidor,"Rellenar columna 'Precio' en BC!E63 (fila 63, columna E/5). Contexto de fila: 'Ups servidor' en A63."
BC,B64,64,B/2,objective,Características,empty,target_column_empty,LIS,"Rellenar columna 'Características' en BC!B64 (fila 64, columna B/2). Contexto de fila: 'LIS' en A64."
BC,D64,64,D/4,objective,Cantidad,empty,target_column_empty,LIS,"Rellenar columna 'Cantidad' en BC!D64 (fila 64, columna D/4). Contexto de fila: 'LIS' en A64."
BC,E64,64,E/5,objective,Precio,empty,target_column_empty,LIS,"Rellenar columna 'Precio' en BC!E64 (fila 64, columna E/5). Contexto de fila: 'LIS' en A64."
BC,B65,65,B/2,objective,Características,empty,target_column_empty,Interfaz,"Rellenar columna 'Características' en BC!B65 (fila 65, columna B/2). Contexto de fila: 'Interfaz' en A65."
BC,D65,65,D/4,objective,Cantidad,empty,target_column_empty,Interfaz,"Rellenar columna 'Cantidad' en BC!D65 (fila 65, columna D/4). Contexto de fila: 'Interfaz' en A65."
BC,E65,65,E/5,objective,Precio,empty,target_column_empty,Interfaz,"Rellenar columna 'Precio' en BC!E65 (fila 65, columna E/5). Contexto de fila: 'Interfaz' en A65."
BC,B66,66,B/2,objective,Características,empty,target_column_empty,Lantronix,"Rellenar columna 'Características' en BC!B66 (fila 66, columna B/2). Contexto de fila: 'Lantronix' en A66."
BC,D66,66,D/4,objective,Cantidad,empty,target_column_empty,Lantronix,"Rellenar columna 'Cantidad' en BC!D66 (fila 66, columna D/4). Contexto de fila: 'Lantronix' en A66."
BC,E66,66,E/5,objective,Precio,empty,target_column_empty,Lantronix,"Rellenar columna 'Precio' en BC!E66 (fila 66, columna E/5). Contexto de fila: 'Lantronix' en A66."
BC,B67,67,B/2,objective,Características,empty,target_column_empty,IP publica,"Rellenar columna 'Características' en BC!B67 (fila 67, columna B/2). Contexto de fila: 'IP publica' en A67."
BC,D67,67,D/4,objective,Cantidad,empty,target_column_empty,IP publica,"Rellenar columna 'Cantidad' en BC!D67 (fila 67, columna D/4). Contexto de fila: 'IP publica' en A67."
BC,E67,67,E/5,objective,Precio,empty,target_column_empty,IP publica,"Rellenar columna 'Precio' en BC!E67 (fila 67, columna E/5). Contexto de fila: 'IP publica' en A67."
BC,B68,68,B/2,objective,Características,empty,target_column_empty,Punto de consulta web,"Rellenar columna 'Características' en BC!B68 (fila 68, columna B/2). Contexto de fila: 'Punto de consulta web' en A68."
BC,D68,68,D/4,objective,Cantidad,empty,target_column_empty,Punto de consulta web,"Rellenar columna 'Cantidad' en BC!D68 (fila 68, columna D/4). Contexto de fila: 'Punto de consulta web' en A68."
BC,E68,68,E/5,objective,Precio,empty,target_column_empty,Punto de consulta web,"Rellenar columna 'Precio' en BC!E68 (fila 68, columna E/5). Contexto de fila: 'Punto de consulta web' en A68."
BC,B69,69,B/2,objective,Características,empty,target_column_empty,Internet,"Rellenar columna 'Características' en BC!B69 (fila 69, columna B/2). Contexto de fila: 'Internet' en A69."
BC,D69,69,D/4,objective,Cantidad,empty,target_column_empty,Internet,"Rellenar columna 'Cantidad' en BC!D69 (fila 69, columna D/4). Contexto de fila: 'Internet' en A69."
BC,E69,69,E/5,objective,Precio,empty,target_column_empty,Internet,"Rellenar columna 'Precio' en BC!E69 (fila 69, columna E/5). Contexto de fila: 'Internet' en A69."
