sheet,cell,row,column,source,target_header,value_state,reason,label,description
t411 h232,H11,11,H/8,objective,PRODUCTO A ENVIAR,empty,target_column_empty,aPTT MedS cobas t411 (20x5ml),"Rellenar columna 'PRODUCTO A ENVIAR' en t411 h232!H11 (fila 11, columna H/8). Contexto de fila: 'aPTT MedS cobas t411 (20x5ml)' en B11."
t411 h232,H12,12,H/8,objective,PRODUCTO A ENVIAR,empty,target_column_empty,aPTT LowS cobas t411 (10x10ml),"Rellenar columna 'PRODUCTO A ENVIAR' en t411 h232!H12 (fila 12, columna H/8). Contexto de fila: 'aPTT LowS cobas t411 (10x10ml)' en B12."
t411 h232,H13,13,H/8,objective,PRODUCTO A ENVIAR,empty,target_column_empty,PT Calibrator Set cobas t411 (5x1x1ml),"Rellenar columna 'PRODUCTO A ENVIAR' en t411 h232!H13 (fila 13, columna H/8). Contexto de fila: 'PT Calibrator Set cobas t411 (5x1x1ml)' en B13."
t411 h232,H14,14,H/8,objective,PRODUCTO A ENVIAR,empty,target_column_empty,Control 1 cobas t411 (20x1ml),"Rellenar columna 'PRODUCTO A ENVIAR' en t411 h232!H14 (fila 14, columna H/8). Contexto de fila: 'Control 1 cobas t411 (20x1ml)' en B14."
t411 h232,H15,15,H/8,objective,PRODUCTO A ENVIAR,empty,target_column_empty,Control 2 cobas t411 (20x1ml),"Rellenar columna 'PRODUCTO A ENVIAR' en t411 h232!H15 (fila 15, columna H/8). Contexto de fila: 'Control 2 cobas t411 (20x1ml)' en B15."
t411 h232,H16,16,H/8,objective,PRODUCTO A ENVIAR,empty,target_column_empty,Control 4 cobas t411 (20x1ml),"Rellenar columna 'PRODUCTO A ENVIAR' en t411 h232!H16 (fila 16, columna H/8). Contexto de fila: 'Control 4 cobas t411 (20x1ml)' en B16."
t411 h232,H17,17,H/8,objective,PRODUCTO A ENVIAR,empty,target_column_empty,D-Dimer Gen. 2 cobas t411,"Rellenar columna 'PRODUCTO A ENVIAR' en t411 h232!H17 (fila 17, columna H/8). Contexto de fila: 'D-Dimer Gen. 2 cobas t411' en B17."
t411 h232,H18,18,H/8,objective,PRODUCTO A ENVIAR,empty,target_column_empty,D-Dimer Gen.2 Control I/II for t411,"Rellenar columna 'PRODUCTO A ENVIAR' en t411 h232!H18 (fila 18, columna H/8). Contexto de fila: 'D-Dimer Gen.2 Control I/II for t411' en B18."
t411 h232,H19,19,H/8,objective,PRODUCTO A ENVIAR,empty,target_column_empty,D-Dimer Gen.2 Calibrator for t411,"Rellenar columna 'PRODUCTO A ENVIAR' en t411 h232!H19 (fila 19, columna H/8). Contexto de fila: 'D-Dimer Gen.2 Calibrator for t411' en B19."
t411 h232,H21,21,H/8,objective,PRODUCTO A ENVIAR,empty,target_column_empty,CC 25mM cobas t411 (10x15ml),"Rellenar columna 'PRODUCTO A ENVIAR' en t411 h232!H21 (fila 21, columna H/8). Contexto de fila: 'CC 25mM cobas t411 (10x15ml)' en B21."
t411 h232,H22,22,H/8,objective,PRODUCTO A ENVIAR,empty,target_column_empty,Day Clean (12x11ml),"Rellenar columna 'PRODUCTO A ENVIAR' en t411 h232!H22 (fila 22, columna H/8). Contexto de fila: 'Day Clean (12x11ml)' en B22."
t411 h232,H23,23,H/8,objective,PRODUCTO A ENVIAR,empty,target_column_empty,CleanSol cobas t411 (12x5ml),"Rellenar columna 'PRODUCTO A ENVIAR' en t411 h232!H23 (fila 23, columna H/8). Contexto de fila: 'CleanSol cobas t411 (12x5ml)' en B23."
t411 h232,H24,24,H/8,objective,PRODUCTO A ENVIAR,empty,target_column_empty,CPC / t 411 Cuvette bar,"Rellenar columna 'PRODUCTO A ENVIAR' en t411 h232!H24 (fila 24, columna H/8). Contexto de fila: 'CPC / t 411 Cuvette bar' en B24."
t411 h232,H25,25,H/8,objective,PRODUCTO A ENVIAR,empty,target_column_empty,SAMPLE CUP,"Rellenar columna 'PRODUCTO A ENVIAR' en t411 h232!H25 (fila 25, columna H/8). Contexto de fila: 'SAMPLE CUP' en B25."
t411 h232,H26,26,H/8,objective,PRODUCTO A ENVIAR,empty,target_column_empty,AGUA DESTILADA X GALON,"Rellenar columna 'PRODUCTO A ENVIAR' en t411 h232!H26 (fila 26, columna H/8). Contexto de fila: 'AGUA DESTILADA X GALON' en B26."
t411 h232,H27,27,H/8,objective,PRODUCTO A ENVIAR,empty,target_column_empty,AMPOLLA DE AGUA BIDESTILADA,"Rellenar columna 'PRODUCTO A ENVIAR' en t411 h232!H27 (fila 27, columna H/8). Contexto de fila: 'AMPOLLA DE AGUA BIDESTILADA' en B27."
t411 h232,H31,31,H/8,objective,PRODUCTO A ENVIAR,empty,target_column_empty,cobas h 232,"Rellenar columna 'PRODUCTO A ENVIAR' en t411 h232!H31 (fila 31, columna H/8). Contexto de fila: 'cobas h 232' en B31."
t411 h232,E34,34,E/5,objective,DET/AÑO/PROCESO,zero,target_column_zero,Roche Cardiac Dimero D,"Rellenar columna 'DET/AÑO/PROCESO' en t411 h232!E34 (fila 34, columna E/5). La celda tiene valor 0; verificar si corresponde ingresar valor real. Contexto de fila: 'Roche Cardiac Dimero D' en B34."
t411 h232,E35,35,E/5,objective,DET/AÑO/PROCESO,zero,target_column_zero,ROCHE CARDIAC CK-MB 10 TESTS (COBAS),"Rellenar columna 'DET/AÑO/PROCESO' en t411 h232!E35 (fila 35, columna E/5). La celda tiene valor 0; verificar si corresponde ingresar valor real. Contexto de fila: 'ROCHE CARDIAC CK-MB 10 TESTS (COBAS)' en B35."
t411 h232,E36,36,E/5,objective,DET/AÑO/PROCESO,zero,target_column_zero,ROCHE CARDIAC PROBNP+ 10 TESTS (COBAS),"Rellenar columna 'DET/AÑO/PROCESO' en t411 h232!E36 (fila 36, columna E/5). La celda tiene valor 0; verificar si corresponde ingresar valor real. Contexto de fila: 'ROCHE CARDIAC PROBNP+ 10 TESTS (COBAS)' en B36."
t411 h232,E37,37,E/5,objective,DET/AÑO/PROCESO,zero,target_column_zero,ROCHE CARDIAC POC TROP T FOR NEW SW VER.,"Rellenar columna 'DET/AÑO/PROCESO' en t411 h232!E37 (fila 37, columna E/5). La celda tiene valor 0; verificar si corresponde ingresar valor real. Contexto de fila: 'ROCHE CARDIAC POC TROP T FOR NEW SW VER.' en B37."
t411 h232,E38,38,E/5,objective,DET/AÑO/PROCESO,empty,target_column_empty,Tubo tapa verde,"Rellenar columna 'DET/AÑO/PROCESO' en t411 h232!E38 (fila 38, columna E/5). Contexto de fila: 'Tubo tapa verde' en B38."
t411 h232,H34,34,H/8,objective,PRODUCTO A ENVIAR,formula,target_column_formula,Roche Cardiac Dimero D,"Rellenar columna 'PRODUCTO A ENVIAR' en t411 h232!H34 (fila 34, columna H/8). La celda tiene formula; verificar si debe reemplazarse con dato manual. Contexto de fila: 'Roche Cardiac Dimero D' en B34."
t411 h232,H35,35,H/8,objective,PRODUCTO A ENVIAR,formula,target_column_formula,ROCHE CARDIAC CK-MB 10 TESTS (COBAS),"Rellenar columna 'PRODUCTO A ENVIAR' en t411 h232!H35 (fila 35, columna H/8). La celda tiene formula; verificar si debe reemplazarse con dato manual. Contexto de fila: 'ROCHE CARDIAC CK-MB 10 TESTS (COBAS)' en B35."
t411 h232,H36,36,H/8,objective,PRODUCTO A ENVIAR,formula,target_column_formula,ROCHE CARDIAC PROBNP+ 10 TESTS (COBAS),"Rellenar columna 'PRODUCTO A ENVIAR' en t411 h232!H36 (fila 36, columna H/8). La celda tiene formula; verificar si debe reemplazarse con dato manual. Contexto de fila: 'ROCHE CARDIAC PROBNP+ 10 TESTS (COBAS)' en B36."
t411 h232,H37,37,H/8,objective,PRODUCTO A ENVIAR,formula,target_column_formula,ROCHE CARDIAC POC TROP T FOR NEW SW VER.,"Rellenar columna 'PRODUCTO A ENVIAR' en t411 h232!H37 (fila 37, columna H/8). La celda tiene formula; verificar si debe reemplazarse con dato manual. Contexto de fila: 'ROCHE CARDIAC POC TROP T FOR NEW SW VER.' en B37."
t411 h232,H38,38,H/8,objective,PRODUCTO A ENVIAR,empty,target_column_empty,Tubo tapa verde,"Rellenar columna 'PRODUCTO A ENVIAR' en t411 h232!H38 (fila 38, columna H/8). Contexto de fila: 'Tubo tapa verde' en B38."
