CHILD_OWNER,CHILD_TABLE,FK_NAME,POSITION,CHILD_COLUMN,PARENT_OWNER,PARENT_TABLE,PARENT_COLUMN,DELETE_RULE,STATUS
SYSTEM,MVIEW$_ADV_FJG,MVIEW$_ADV_FJG_FK,1,AJGID#,SYSTEM,MVIEW$_ADV_AJG,AJGID#,NO ACTION,ENABLED
SYSTEM,MVIEW$_ADV_GC,MVIEW$_ADV_GC_FK,1,FJGID#,SYSTEM,MVIEW$_ADV_FJG,FJGID#,NO ACTION,ENABLED
SYSTEM,MVIEW$_ADV_INFO,MVIEW$_ADV_INFO_FK,1,RUNID#,SYSTEM,MVIEW$_ADV_LOG,RUNID#,NO ACTION,ENABLED
SYSTEM,MVIEW$_ADV_JOURNAL,MVIEW$_ADV_JOURNAL_FK,1,RUNID#,SYSTEM,MVIEW$_ADV_LOG,RUNID#,NO ACTION,ENABLED
SYSTEM,MVIEW$_ADV_LEVEL,MVIEW$_ADV_LEVEL_FK,1,RUNID#,SYSTEM,MVIEW$_ADV_LOG,RUNID#,NO ACTION,ENABLED
SYSTEM,MVIEW$_ADV_OUTPUT,MVIEW$_ADV_OUTPUT_FK,1,RUNID#,SYSTEM,MVIEW$_ADV_LOG,RUNID#,NO ACTION,ENABLED
SYSTEM,MVIEW$_ADV_ROLLUP,MVIEW$_ADV_ROLLUP_CFK,1,RUNID#,SYSTEM,MVIEW$_ADV_LEVEL,RUNID#,NO ACTION,ENABLED
SYSTEM,MVIEW$_ADV_ROLLUP,MVIEW$_ADV_ROLLUP_CFK,2,CLEVELID#,SYSTEM,MVIEW$_ADV_LEVEL,LEVELID#,NO ACTION,ENABLED
SYSTEM,MVIEW$_ADV_ROLLUP,MVIEW$_ADV_ROLLUP_FK,1,RUNID#,SYSTEM,MVIEW$_ADV_LOG,RUNID#,NO ACTION,ENABLED
SYSTEM,MVIEW$_ADV_ROLLUP,MVIEW$_ADV_ROLLUP_PFK,1,RUNID#,SYSTEM,MVIEW$_ADV_LEVEL,RUNID#,NO ACTION,ENABLED
SYSTEM,MVIEW$_ADV_ROLLUP,MVIEW$_ADV_ROLLUP_PFK,2,PLEVELID#,SYSTEM,MVIEW$_ADV_LEVEL,LEVELID#,NO ACTION,ENABLED
XDB,JSON$USER_CREDENTIALS,JSON$USER_CREDENTIALS_FK,1,ID,XDB,JSON$USERS,ID,CASCADE,ENABLED
XDB,JSON$USER_ROLES,JSON$USER_ROLES_FK,1,ID,XDB,JSON$USERS,ID,CASCADE,ENABLED
