OWNER,TABLE_NAME,COLUMN_ID,COLUMN_NAME,DATA_TYPE,DATA_LENGTH,DATA_PRECISION,DATA_SCALE,NULLABLE
SYSTEM,ALM_DETADESP,14,TIPODIRECCION,VARCHAR2,20,,,N
SYSTEM,ALM_DETADESP,15,NUMBER1,NUMBER,22,,,Y
SYSTEM,ALM_DETADESP,16,NUMBER2,NUMBER,22,,,Y
SYSTEM,ALM_DETADESP,17,NUMBER3,NUMBER,22,,,Y
SYSTEM,ALM_DETADESP,18,NUMBER4,NUMBER,22,,,Y
SYSTEM,ALM_DETADESP,19,NUMBER5,NUMBER,22,,,Y
SYSTEM,ALM_DETADESP,20,VCHAR1,VARCHAR2,500,,,Y
SYSTEM,ALM_DETADESP,21,VCHAR2,VARCHAR2,500,,,Y
SYSTEM,ALM_DETADESP,22,VCHAR3,VARCHAR2,500,,,Y
SYSTEM,ALM_DETADESP,23,VCHAR4,VARCHAR2,500,,,Y
SYSTEM,ALM_DETADESP,24,VCHAR5,VARCHAR2,500,,,Y
SYSTEM,ALM_DETADESP,25,USUACTUA,VARCHAR2,20,,,Y
SYSTEM,ALM_DETADESP,26,USUACREA,VARCHAR2,20,,,N
SYSTEM,ALM_DETADESP,27,FECHACTU,DATE,7,,,Y
SYSTEM,ALM_DETADESP,28,FECHCREA,DATE,7,,,N
SYSTEM,ALM_DETADESP,29,DSPO_NUMERO,NUMBER,22,10,0,N
