OWNER,TABLE_NAME,CONSTRAINT_NAME,POSITION,COLUMN_NAME
SYSTEM,LOGMNR_PDB_INFO$,LOGMNR_PDB_INFO$_PK,1,LOGMNR_DID
SYSTEM,LOGMNR_PDB_INFO$,LOGMNR_PDB_INFO$_PK,2,LOGMNR_MDH
SYSTEM,LOGMNR_PDB_INFO$,LOGMNR_PDB_INFO$_PK,3,PLUGIN_SCN
SYSTEM,LOGMNR_PROCESSED_LOG$,LOGMNR_PROCESSED_LOG$_PK,1,SESSION#
SYSTEM,LOGMNR_PROCESSED_LOG$,LOGMNR_PROCESSED_LOG$_PK,2,THREAD#
SYSTEM,LOGMNR_PROFILE_PLSQL_STATS$,LOGMNR_PROFILE_PLSQL$_PK,1,PKGOWNER
SYSTEM,LOGMNR_PROFILE_PLSQL_STATS$,LOGMNR_PROFILE_PLSQL$_PK,2,PKGNAME
SYSTEM,LOGMNR_PROFILE_PLSQL_STATS$,LOGMNR_PROFILE_PLSQL$_PK,3,NAME
SYSTEM,LOGMNR_PROFILE_TABLE_STATS$,LOGMNR_PROFILE_TABLE$_PK,1,OBJID
SYSTEM,LOGMNR_PROPS$,LOGMNR_PROPS$_PK,1,LOGMNR_UID
SYSTEM,LOGMNR_PROPS$,LOGMNR_PROPS$_PK,2,NAME
SYSTEM,LOGMNR_REFCON$,LOGMNR_REFCON$_PK,1,LOGMNR_UID
SYSTEM,LOGMNR_REFCON$,LOGMNR_REFCON$_PK,2,OBJ#
SYSTEM,LOGMNR_REFCON$,LOGMNR_REFCON$_PK,3,INTCOL#
SYSTEM,LOGMNR_RESTART_CKPT$,LOGMNR_RESTART_CKPT$_PK,1,SESSION#
SYSTEM,LOGMNR_RESTART_CKPT$,LOGMNR_RESTART_CKPT$_PK,2,CKPT_SCN
SYSTEM,LOGMNR_RESTART_CKPT$,LOGMNR_RESTART_CKPT$_PK,3,XIDUSN
SYSTEM,LOGMNR_RESTART_CKPT$,LOGMNR_RESTART_CKPT$_PK,4,XIDSLT
SYSTEM,LOGMNR_RESTART_CKPT$,LOGMNR_RESTART_CKPT$_PK,5,XIDSQN
SYSTEM,LOGMNR_RESTART_CKPT$,LOGMNR_RESTART_CKPT$_PK,6,PDBID
SYSTEM,LOGMNR_RESTART_CKPT$,LOGMNR_RESTART_CKPT$_PK,7,SESSION_NUM
SYSTEM,LOGMNR_RESTART_CKPT$,LOGMNR_RESTART_CKPT$_PK,8,SERIAL_NUM
SYSTEM,LOGMNR_RESTART_CKPT_TXINFO$,LOGMNR_RESTART_CKPT_TXINFO$_PK,1,SESSION#
SYSTEM,LOGMNR_RESTART_CKPT_TXINFO$,LOGMNR_RESTART_CKPT_TXINFO$_PK,2,XIDUSN
SYSTEM,LOGMNR_RESTART_CKPT_TXINFO$,LOGMNR_RESTART_CKPT_TXINFO$_PK,3,XIDSLT
SYSTEM,LOGMNR_RESTART_CKPT_TXINFO$,LOGMNR_RESTART_CKPT_TXINFO$_PK,4,XIDSQN
SYSTEM,LOGMNR_RESTART_CKPT_TXINFO$,LOGMNR_RESTART_CKPT_TXINFO$_PK,5,SESSION_NUM
SYSTEM,LOGMNR_RESTART_CKPT_TXINFO$,LOGMNR_RESTART_CKPT_TXINFO$_PK,6,SERIAL_NUM
SYSTEM,LOGMNR_RESTART_CKPT_TXINFO$,LOGMNR_RESTART_CKPT_TXINFO$_PK,7,EFFECTIVE_SCN
SYSTEM,LOGMNR_SEED$,LOGMNR_SEED$_PK,1,LOGMNR_UID
SYSTEM,LOGMNR_SEED$,LOGMNR_SEED$_PK,2,OBJ#
SYSTEM,LOGMNR_SEED$,LOGMNR_SEED$_PK,3,INTCOL#
SYSTEM,LOGMNR_SESSION$,LOGMNR_SESSION_PK,1,SESSION#
SYSTEM,LOGMNR_SESSION_ACTIONS$,LOGMNR_SESSION_ACTION$_PK,1,LOGMNRSESSION#
SYSTEM,LOGMNR_SESSION_ACTIONS$,LOGMNR_SESSION_ACTION$_PK,2,ACTIONNAME
SYSTEM,LOGMNR_SESSION_EVOLVE$,LOGMNR_SESSION_EVOLVE$_PK,1,SESSION#
SYSTEM,LOGMNR_SESSION_EVOLVE$,LOGMNR_SESSION_EVOLVE$_PK,2,DB_ID
SYSTEM,LOGMNR_SESSION_EVOLVE$,LOGMNR_SESSION_EVOLVE$_PK,3,RESET_SCN
SYSTEM,LOGMNR_SESSION_EVOLVE$,LOGMNR_SESSION_EVOLVE$_PK,4,RESET_TIMESTAMP
SYSTEM,LOGMNR_SHARD_TS,LOGMNR_SHARD_TS_PK,1,LOGMNR_UID
SYSTEM,LOGMNR_SHARD_TS,LOGMNR_SHARD_TS_PK,2,TABLESPACE_NAME
SYSTEM,LOGMNR_SPILL$,LOGMNR_SPILL$_PK,1,SESSION#
SYSTEM,LOGMNR_SPILL$,LOGMNR_SPILL$_PK,2,PDBID
SYSTEM,LOGMNR_SPILL$,LOGMNR_SPILL$_PK,3,XIDUSN
SYSTEM,LOGMNR_SPILL$,LOGMNR_SPILL$_PK,4,XIDSLT
SYSTEM,LOGMNR_SPILL$,LOGMNR_SPILL$_PK,5,XIDSQN
SYSTEM,LOGMNR_SPILL$,LOGMNR_SPILL$_PK,6,CHUNK
SYSTEM,LOGMNR_SPILL$,LOGMNR_SPILL$_PK,7,STARTIDX
SYSTEM,LOGMNR_SPILL$,LOGMNR_SPILL$_PK,8,ENDIDX
SYSTEM,LOGMNR_SPILL$,LOGMNR_SPILL$_PK,9,FLAG
SYSTEM,LOGMNR_SPILL$,LOGMNR_SPILL$_PK,10,SEQUENCE#
SYSTEM,LOGMNR_SUBCOLTYPE$,LOGMNR_SUBCOLTYPE$_PK,1,LOGMNR_UID
SYSTEM,LOGMNR_SUBCOLTYPE$,LOGMNR_SUBCOLTYPE$_PK,2,OBJ#
SYSTEM,LOGMNR_SUBCOLTYPE$,LOGMNR_SUBCOLTYPE$_PK,3,INTCOL#
SYSTEM,LOGMNR_SUBCOLTYPE$,LOGMNR_SUBCOLTYPE$_PK,4,TOID
SYSTEM,LOGMNR_TAB$,LOGMNR_TAB$_PK,1,LOGMNR_UID
SYSTEM,LOGMNR_TAB$,LOGMNR_TAB$_PK,2,OBJ#
SYSTEM,LOGMNR_TABCOMPART$,LOGMNR_TABCOMPART$_PK,1,LOGMNR_UID
SYSTEM,LOGMNR_TABCOMPART$,LOGMNR_TABCOMPART$_PK,2,OBJ#
SYSTEM,LOGMNR_TABPART$,LOGMNR_TABPART$_PK,1,LOGMNR_UID
SYSTEM,LOGMNR_TABPART$,LOGMNR_TABPART$_PK,2,OBJ#
SYSTEM,LOGMNR_TABPART$,LOGMNR_TABPART$_PK,3,BO#
SYSTEM,LOGMNR_TABSUBPART$,LOGMNR_TABSUBPART$_PK,1,LOGMNR_UID
SYSTEM,LOGMNR_TABSUBPART$,LOGMNR_TABSUBPART$_PK,2,OBJ#
SYSTEM,LOGMNR_TABSUBPART$,LOGMNR_TABSUBPART$_PK,3,POBJ#
SYSTEM,LOGMNRT_MDDL$,LOGMNRT_MDDL$_PK,1,SOURCE_OBJ#
SYSTEM,LOGMNRT_MDDL$,LOGMNRT_MDDL$_PK,2,SOURCE_ROWID
SYSTEM,LOGMNR_TS$,LOGMNR_TS$_PK,1,LOGMNR_UID
SYSTEM,LOGMNR_TS$,LOGMNR_TS$_PK,2,TS#
SYSTEM,LOGMNR_TYPE$,LOGMNR_TYPE$_PK,1,LOGMNR_UID
SYSTEM,LOGMNR_TYPE$,LOGMNR_TYPE$_PK,2,TOID
SYSTEM,LOGMNR_TYPE$,LOGMNR_TYPE$_PK,3,VERSION#
SYSTEM,LOGMNR_UID$,LOGMNR_UID$_PK,1,LOGMNR_UID
SYSTEM,LOGMNR_USER$,LOGMNR_USER$_PK,1,LOGMNR_UID
SYSTEM,LOGMNR_USER$,LOGMNR_USER$_PK,2,USER#
SYSTEM,LOGSTDBY$EDS_TABLES,LOGSTDBY$EDS_TABLES_PKEY,1,OWNER
SYSTEM,LOGSTDBY$EDS_TABLES,LOGSTDBY$EDS_TABLES_PKEY,2,TABLE_NAME
SYSTEM,LOGSTDBY$FLASHBACK_SCN,SYS_C005845,1,PRIMARY_SCN
SYSTEM,MVIEW$_ADV_AJG,MVIEW$_ADV_AJG_PK,1,AJGID#
SYSTEM,MVIEW$_ADV_CLIQUE,MVIEW$_ADV_CLIQUE_PK,1,CLIQUEID#
SYSTEM,MVIEW$_ADV_ELIGIBLE,MVIEW$_ADV_ELIGIBLE_PK,1,SUMOBJN#
SYSTEM,MVIEW$_ADV_ELIGIBLE,MVIEW$_ADV_ELIGIBLE_PK,2,RUNID#
SYSTEM,MVIEW$_ADV_FILTER,MVIEW$_ADV_FILTER_PK,1,FILTERID#
SYSTEM,MVIEW$_ADV_FILTER,MVIEW$_ADV_FILTER_PK,2,SUBFILTERNUM#
SYSTEM,MVIEW$_ADV_FJG,MVIEW$_ADV_FJG_PK,1,FJGID#
SYSTEM,MVIEW$_ADV_GC,MVIEW$_ADV_GC_PK,1,GCID#
SYSTEM,MVIEW$_ADV_INFO,MVIEW$_ADV_INFO_PK,1,RUNID#
SYSTEM,MVIEW$_ADV_INFO,MVIEW$_ADV_INFO_PK,2,SEQ#
SYSTEM,MVIEW$_ADV_JOURNAL,MVIEW$_ADV_JOURNAL_PK,1,RUNID#
SYSTEM,MVIEW$_ADV_JOURNAL,MVIEW$_ADV_JOURNAL_PK,2,SEQ#
SYSTEM,MVIEW$_ADV_LEVEL,MVIEW$_ADV_LEVEL_PK,1,RUNID#
SYSTEM,MVIEW$_ADV_LEVEL,MVIEW$_ADV_LEVEL_PK,2,LEVELID#
SYSTEM,MVIEW$_ADV_LOG,MVIEW$_ADV_LOG_PK,1,RUNID#
SYSTEM,MVIEW$_ADV_OUTPUT,MVIEW$_ADV_OUTPUT_PK,1,RUNID#
SYSTEM,MVIEW$_ADV_OUTPUT,MVIEW$_ADV_OUTPUT_PK,2,RANK#
SYSTEM,MVIEW$_ADV_PARAMETERS,MVIEW$_ADV_PARAMETERS_PK,1,PARAMETER_NAME
SYSTEM,MVIEW$_ADV_ROLLUP,MVIEW$_ADV_ROLLUP_PK,1,RUNID#
